month_year,type_of_offence,count_category,count
2012-11-01,Mobile phone offences,Fines,129840.0
2012-11-01,Mobile phone offences,Offences,1623.0
2012-11-01,Officer-issued red light,Fines,125100.0
2012-11-01,Officer-issued red light,Offences,834.0
2012-11-01,Restraints,Fines,829050.0
2012-11-01,Restraints,Offences,5527.0
2012-12-01,Alcohol specific offences,Fines,21800.0
2012-12-01,Alcohol specific offences,Offences,2639.0
2012-12-01,Camera-issued speed offences,Fines,3287740.0
2012-12-01,Camera-issued speed offences,Offences,51387.0
2012-12-01,Drug specific offences,Offences,42.0
2012-12-01,Mobile phone offences,Fines,87920.0
2012-12-01,Mobile phone offences,Offences,1099.0
2012-12-01,Officer-issued red light,Fines,114150.0
2012-12-01,Officer-issued red light,Offences,761.0
2012-12-01,Restraints,Fines,726e3
2012-12-01,Restraints,Offences,4840.0
2013-01-01,Alcohol specific offences,Fines,13600.0
2013-01-01,Alcohol specific offences,Offences,1890.0
2013-01-01,Camera-issued speed offences,Fines,3364940.0
2013-01-01,Camera-issued speed offences,Offences,44097.0
2013-01-01,Drug specific offences,Offences,15.0
2013-01-01,Mobile phone offences,Fines,63760.0
2013-01-01,Mobile phone offences,Offences,797.0
2013-01-01,Officer-issued red light,Fines,93450.0
2013-01-01,Officer-issued red light,Offences,623.0
2013-01-01,Restraints,Fines,651300.0
2013-01-01,Restraints,Offences,4343.0
2013-02-01,Alcohol specific offences,Fines,12200.0
2013-02-01,Alcohol specific offences,Offences,1787.0
2013-02-01,Camera-issued speed offences,Fines,3167690.0
2013-02-01,Camera-issued speed offences,Offences,39196.0
2013-02-01,Drug specific offences,Offences,14.0
2013-02-01,Mobile phone offences,Fines,66240.0
2013-02-01,Mobile phone offences,Offences,829.0
2013-02-01,Officer-issued red light,Fines,91650.0
2013-02-01,Officer-issued red light,Offences,611.0
2013-02-01,Restraints,Fines,588450.0
2013-02-01,Restraints,Offences,3923.0
2013-03-01,Alcohol specific offences,Fines,16e3
2013-03-01,Alcohol specific offences,Offences,2316.0
2013-03-01,Camera-issued speed offences,Fines,3458800.0
2013-03-01,Camera-issued speed offences,Offences,47048.0
2013-03-01,Drug specific offences,Offences,25.0
2013-03-01,Mobile phone offences,Fines,82400.0
2013-03-01,Mobile phone offences,Offences,1030.0
2013-03-01,Officer-issued red light,Fines,117e3
2013-03-01,Officer-issued red light,Offences,780.0
2013-03-01,Restraints,Fines,615150.0
2013-03-01,Restraints,Offences,4110.0
2013-04-01,Alcohol specific offences,Fines,13800.0
2013-04-01,Alcohol specific offences,Offences,1928.0
2013-04-01,Camera-issued speed offences,Fines,2928730.0
2013-04-01,Camera-issued speed offences,Offences,37176.0
2013-04-01,Drug specific offences,Offences,23.0
2013-04-01,Mobile phone offences,Fines,75440.0
2013-04-01,Mobile phone offences,Offences,943.0
2013-04-01,Officer-issued red light,Fines,113400.0
2013-04-01,Officer-issued red light,Offences,756.0
2013-04-01,Restraints,Fines,535350.0
2013-04-01,Restraints,Offences,3569.0
2013-05-01,Alcohol specific offences,Fines,9600.0
2013-05-01,Alcohol specific offences,Offences,2035.0
2013-05-01,Camera-issued speed offences,Fines,3161040.0
2013-05-01,Camera-issued speed offences,Offences,42333.0
2013-05-01,Drug specific offences,Offences,26.0
2013-05-01,Mobile phone offences,Fines,87200.0
2013-05-01,Mobile phone offences,Offences,1090.0
2013-05-01,Officer-issued red light,Fines,147600.0
2013-05-01,Officer-issued red light,Offences,984.0
2013-05-01,Restraints,Fines,535350.0
2013-05-01,Restraints,Offences,3569.0
2013-06-01,Alcohol specific offences,Fines,13200.0
2013-06-01,Alcohol specific offences,Offences,2229.0
2013-06-01,Camera-issued speed offences,Fines,3331220.0
2013-06-01,Camera-issued speed offences,Offences,48175.0
2013-06-01,Drug specific offences,Offences,23.0
2013-06-01,Mobile phone offences,Fines,73680.0
2013-06-01,Mobile phone offences,Offences,921.0
2013-06-01,Officer-issued red light,Fines,124800.0
2013-06-01,Officer-issued red light,Offences,832.0
2013-06-01,Restraints,Fines,482100.0
2013-06-01,Restraints,Offences,3214.0
2013-07-01,Alcohol specific offences,Fines,13200.0
2013-07-01,Alcohol specific offences,Offences,2006.0
2013-07-01,Camera-issued speed offences,Fines,3351770.0
2013-07-01,Camera-issued speed offences,Offences,40491.0
2013-07-01,Drug specific offences,Offences,13.0
